country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation,suicides_per_100k
Albania,1987,1,0,21,312900,6.71,Albania1987,,"2,156,624,900",796,Generation X,6.711409395973154
Albania,1987,1,2,16,308000,5.19,Albania1987,,"2,156,624,900",796,Silent,5.194805194805195
Albania,1987,0,0,14,289700,4.83,Albania1987,,"2,156,624,900",796,Generation X,4.8325854332067655
Albania,1987,1,5,1,21800,4.59,Albania1987,,"2,156,624,900",796,G.I. Generation,4.587155963302752
Albania,1987,1,1,9,274300,3.28,Albania1987,,"2,156,624,900",796,Boomers,3.2810791104629966
Albania,1987,0,5,1,35600,2.81,Albania1987,,"2,156,624,900",796,G.I. Generation,2.808988764044944
Albania,1987,0,2,6,278800,2.15,Albania1987,,"2,156,624,900",796,Silent,2.1520803443328553
Albania,1987,0,1,4,257200,1.56,Albania1987,,"2,156,624,900",796,Boomers,1.5552099533437014
Albania,1987,1,4,1,137500,0.73,Albania1987,,"2,156,624,900",796,G.I. Generation,0.7272727272727272
Albania,1987,0,3,0,311000,0.0,Albania1987,,"2,156,624,900",796,Generation X,0.0
Albania,1987,0,4,0,144600,0.0,Albania1987,,"2,156,624,900",796,G.I. Generation,0.0
Albania,1987,1,3,0,338200,0.0,Albania1987,,"2,156,624,900",796,Generation X,0.0
Albania,1988,0,5,2,36400,5.49,Albania1988,,"2,126,000,000",769,G.I. Generation,5.4945054945054945
Albania,1988,1,0,17,319200,5.33,Albania1988,,"2,126,000,000",769,Generation X,5.325814536340852
Albania,1988,1,5,1,22300,4.48,Albania1988,,"2,126,000,000",769,G.I. Generation,4.484304932735426
Albania,1988,1,2,14,314100,4.46,Albania1988,,"2,126,000,000",769,Silent,4.457179242279529
Albania,1988,1,4,4,140200,2.85,Albania1988,,"2,126,000,000",769,G.I. Generation,2.8530670470756063
Albania,1988,0,0,8,295600,2.71,Albania1988,,"2,126,000,000",769,Generation X,2.706359945872801
Albania,1988,0,4,3,147500,2.03,Albania1988,,"2,126,000,000",769,G.I. Generation,2.0338983050847457
Albania,1988,0,1,5,262400,1.91,Albania1988,,"2,126,000,000",769,Boomers,1.9054878048780488
Albania,1988,1,1,5,279900,1.79,Albania1988,,"2,126,000,000",769,Boomers,1.7863522686673812
Albania,1988,0,2,4,284500,1.41,Albania1988,,"2,126,000,000",769,Silent,1.40597539543058
Albania,1988,0,3,0,317200,0.0,Albania1988,,"2,126,000,000",769,Generation X,0.0
Albania,1988,1,3,0,345000,0.0,Albania1988,,"2,126,000,000",769,Generation X,0.0
Albania,1989,1,5,2,22500,8.89,Albania1989,,"2,335,124,988",833,G.I. Generation,8.88888888888889
Albania,1989,1,1,18,283600,6.35,Albania1989,,"2,335,124,988",833,Boomers,6.346967559943582
Albania,1989,1,2,15,318400,4.71,Albania1989,,"2,335,124,988",833,Silent,4.711055276381909
Albania,1989,1,4,6,142100,4.22,Albania1989,,"2,335,124,988",833,G.I. Generation,4.2223786066150595
Albania,1989,1,0,12,323500,3.71,Albania1989,,"2,335,124,988",833,Generation X,3.7094281298299845
Albania,1989,0,2,7,288600,2.43,Albania1989,,"2,335,124,988",833,Silent,2.4255024255024256
Albania,1989,0,0,5,299900,1.67,Albania1989,,"2,335,124,988",833,Generation X,1.6672224074691564
Albania,1989,0,1,2,266300,0.75,Albania1989,,"2,335,124,988",833,Boomers,0.7510326699211416
Albania,1989,0,4,1,149600,0.67,Albania1989,,"2,335,124,988",833,G.I. Generation,0.6684491978609626
Albania,1989,0,3,0,321900,0.0,Albania1989,,"2,335,124,988",833,Generation X,0.0
Albania,1989,0,5,0,37000,0.0,Albania1989,,"2,335,124,988",833,G.I. Generation,0.0
Albania,1989,1,3,0,349700,0.0,Albania1989,,"2,335,124,988",833,Generation X,0.0
Albania,1992,1,2,12,343800,3.49,Albania1992,,"709,452,584",251,Boomers,3.4904013961605584
Albania,1992,1,0,9,263700,3.41,Albania1992,,"709,452,584",251,Generation X,3.4129692832764507
Albania,1992,1,4,5,159500,3.13,Albania1992,,"709,452,584",251,Silent,3.134796238244514
Albania,1992,1,1,7,245500,2.85,Albania1992,,"709,452,584",251,Boomers,2.8513238289205702
Albania,1992,0,0,7,292400,2.39,Albania1992,,"709,452,584",251,Generation X,2.3939808481532148
Albania,1992,0,1,4,267400,1.5,Albania1992,,"709,452,584",251,Boomers,1.4958863126402393
Albania,1992,0,2,2,323100,0.62,Albania1992,,"709,452,584",251,Boomers,0.6190034045187248
Albania,1992,0,4,1,164900,0.61,Albania1992,,"709,452,584",251,Silent,0.6064281382656155
Albania,1992,0,3,0,336700,0.0,Albania1992,,"709,452,584",251,Millenials,0.0
Albania,1992,0,5,0,38700,0.0,Albania1992,,"709,452,584",251,G.I. Generation,0.0
Albania,1992,1,3,0,362900,0.0,Albania1992,,"709,452,584",251,Millenials,0.0
Albania,1992,1,5,0,23900,0.0,Albania1992,,"709,452,584",251,G.I. Generation,0.0
Albania,1993,1,0,18,243300,7.4,Albania1993,,"1,228,071,038",437,Generation X,7.398273736128237
Albania,1993,1,4,7,165000,4.24,Albania1993,,"1,228,071,038",437,Silent,4.242424242424242
Albania,1993,1,5,1,24200,4.13,Albania1993,,"1,228,071,038",437,G.I. Generation,4.132231404958678
Albania,1993,1,1,9,230100,3.91,Albania1993,,"1,228,071,038",437,Boomers,3.911342894393742
Albania,1993,0,0,10,285300,3.51,Albania1993,,"1,228,071,038",437,Generation X,3.505082369435682
Albania,1993,1,2,10,350300,2.85,Albania1993,,"1,228,071,038",437,Boomers,2.8546959748786755
Albania,1993,0,1,7,261800,2.67,Albania1993,,"1,228,071,038",437,Boomers,2.6737967914438503
Albania,1993,0,2,7,331200,2.11,Albania1993,,"1,228,071,038",437,Boomers,2.1135265700483092
Albania,1993,0,4,2,169500,1.18,Albania1993,,"1,228,071,038",437,Silent,1.1799410029498525
Albania,1993,0,3,1,340300,0.29,Albania1993,,"1,228,071,038",437,Millenials,0.2938583602703497
Albania,1993,1,3,1,367000,0.27,Albania1993,,"1,228,071,038",437,Millenials,0.2724795640326976
Albania,1993,0,5,0,39300,0.0,Albania1993,,"1,228,071,038",437,G.I. Generation,0.0
Albania,1994,1,5,2,24600,8.13,Albania1994,,"1,985,673,798",697,G.I. Generation,8.130081300813009
Albania,1994,1,4,11,171400,6.42,Albania1994,,"1,985,673,798",697,Silent,6.417736289381563
Albania,1994,0,5,2,39900,5.01,Albania1994,,"1,985,673,798",697,G.I. Generation,5.012531328320803
Albania,1994,1,1,6,231400,2.59,Albania1994,,"1,985,673,798",697,Boomers,2.592912705272256
Albania,1994,1,2,9,362800,2.48,Albania1994,,"1,985,673,798",697,Boomers,2.4807056229327453
Albania,1994,1,0,6,242200,2.48,Albania1994,,"1,985,673,798",697,Generation X,2.477291494632535
Albania,1994,0,0,6,282600,2.12,Albania1994,,"1,985,673,798",697,Generation X,2.1231422505307855
Albania,1994,0,1,4,261100,1.53,Albania1994,,"1,985,673,798",697,Boomers,1.5319800842589044
Albania,1994,0,2,2,342500,0.58,Albania1994,,"1,985,673,798",697,Boomers,0.5839416058394161
Albania,1994,0,4,1,174600,0.57,Albania1994,,"1,985,673,798",697,Silent,0.572737686139748
Albania,1994,1,3,1,371800,0.27,Albania1994,,"1,985,673,798",697,Millenials,0.2689618074233459
Albania,1994,0,3,0,344400,0.0,Albania1994,,"1,985,673,798",697,Millenials,0.0
Albania,1995,1,1,13,232900,5.58,Albania1995,0.619,"2,424,499,009",835,Generation X,5.5817947617003005
Albania,1995,1,4,9,178000,5.06,Albania1995,0.619,"2,424,499,009",835,Silent,5.056179775280899
Albania,1995,0,5,2,40800,4.9,Albania1995,0.619,"2,424,499,009",835,G.I. Generation,4.901960784313725
Albania,1995,0,0,13,283500,4.59,Albania1995,0.619,"2,424,499,009",835,Generation X,4.585537918871252
Albania,1995,1,0,11,241200,4.56,Albania1995,0.619,"2,424,499,009",835,Generation X,4.560530679933665
Albania,1995,1,5,1,25100,3.98,Albania1995,0.619,"2,424,499,009",835,G.I. Generation,3.9840637450199203
Albania,1995,1,2,14,375900,3.72,Albania1995,0.619,"2,424,499,009",835,Boomers,3.7243947858473
Albania,1995,0,1,7,264000,2.65,Albania1995,0.619,"2,424,499,009",835,Generation X,2.6515151515151514
Albania,1995,0,2,8,356400,2.24,Albania1995,0.619,"2,424,499,009",835,Boomers,2.244668911335578
Albania,1995,1,3,6,376500,1.59,Albania1995,0.619,"2,424,499,009",835,Millenials,1.593625498007968
Albania,1995,0,4,2,180400,1.11,Albania1995,0.619,"2,424,499,009",835,Silent,1.1086474501108647
Albania,1995,0,3,2,348700,0.57,Albania1995,0.619,"2,424,499,009",835,Millenials,0.5735589331803843
Albania,1996,1,5,2,25400,7.87,Albania1996,,"3,314,898,292",1127,G.I. Generation,7.874015748031495
Albania,1996,1,0,17,243600,6.98,Albania1996,,"3,314,898,292",1127,Generation X,6.9786535303776684
Albania,1996,1,1,14,235300,5.95,Albania1996,,"3,314,898,292",1127,Generation X,5.949851253718657
Albania,1996,0,0,16,287700,5.56,Albania1996,,"3,314,898,292",1127,Generation X,5.561348627042057
Albania,1996,0,5,2,41200,4.85,Albania1996,,"3,314,898,292",1127,G.I. Generation,4.8543689320388355
Albania,1996,0,1,10,267900,3.73,Albania1996,,"3,314,898,292",1127,Generation X,3.7327360955580438
Albania,1996,1,2,12,379600,3.16,Albania1996,,"3,314,898,292",1127,Boomers,3.1612223393045307
Albania,1996,0,2,9,362000,2.49,Albania1996,,"3,314,898,292",1127,Boomers,2.4861878453038675
Albania,1996,1,4,3,179900,1.67,Albania1996,,"3,314,898,292",1127,Silent,1.6675931072818233
Albania,1996,0,4,1,183100,0.55,Albania1996,,"3,314,898,292",1127,Silent,0.5461496450027308
Albania,1996,1,3,2,380400,0.53,Albania1996,,"3,314,898,292",1127,Millenials,0.5257623554153523
Albania,1996,0,3,1,354100,0.28,Albania1996,,"3,314,898,292",1127,Millenials,0.2824060999717594
Albania,1997,1,1,36,236000,15.25,Albania1997,,"2,359,903,108",793,Generation X,15.254237288135592
Albania,1997,1,0,33,244400,13.5,Albania1997,,"2,359,903,108",793,Generation X,13.502454991816695
Albania,1997,1,5,3,25400,11.81,Albania1997,,"2,359,903,108",793,G.I. Generation,11.811023622047244
Albania,1997,1,2,30,380800,7.88,Albania1997,,"2,359,903,108",793,Boomers,7.878151260504202
Albania,1997,0,0,21,294000,7.14,Albania1997,,"2,359,903,108",793,Generation X,7.142857142857143
Albania,1997,1,4,12,180300,6.66,Albania1997,,"2,359,903,108",793,Silent,6.655574043261231
Albania,1997,0,1,16,273900,5.84,Albania1997,,"2,359,903,108",793,Generation X,5.841548010222708
Albania,1997,0,5,2,42100,4.75,Albania1997,,"2,359,903,108",793,G.I. Generation,4.750593824228028
Albania,1997,0,2,7,370100,1.89,Albania1997,,"2,359,903,108",793,Boomers,1.8913807079167793
Albania,1997,0,3,6,361800,1.66,Albania1997,,"2,359,903,108",793,Millenials,1.658374792703151
Albania,1997,1,3,4,381500,1.05,Albania1997,,"2,359,903,108",793,Millenials,1.0484927916120577
Albania,1997,0,4,0,187000,0.0,Albania1997,,"2,359,903,108",793,Silent,0.0
Albania,1998,1,5,3,25800,11.63,Albania1998,,"2,707,123,772",899,G.I. Generation,11.627906976744187
Albania,1998,1,0,27,248800,10.85,Albania1998,,"2,707,123,772",899,Generation X,10.85209003215434
Albania,1998,0,0,32,295600,10.83,Albania1998,,"2,707,123,772",899,Generation X,10.825439783491204
Albania,1998,1,1,26,240400,10.82,Albania1998,,"2,707,123,772",899,Generation X,10.8153078202995
Albania,1998,1,2,29,388200,7.47,Albania1998,,"2,707,123,772",899,Boomers,7.470376094796497
Albania,1998,1,4,9,183800,4.9,Albania1998,,"2,707,123,772",899,Silent,4.896626768226333
Albania,1998,0,1,10,275300,3.63,Albania1998,,"2,707,123,772",899,Generation X,3.6324010170722847
Albania,1998,0,4,6,188200,3.19,Albania1998,,"2,707,123,772",899,Silent,3.188097768331562
Albania,1998,0,2,9,372100,2.42,Albania1998,,"2,707,123,772",899,Boomers,2.418704649287826
Albania,1998,1,3,2,388400,0.51,Albania1998,,"2,707,123,772",899,Millenials,0.5149330587023686
Albania,1998,0,3,1,363800,0.27,Albania1998,,"2,707,123,772",899,Millenials,0.2748763056624519
Albania,1998,0,5,0,42300,0.0,Albania1998,,"2,707,123,772",899,G.I. Generation,0.0
Albania,1999,1,5,3,25900,11.58,Albania1999,,"3,414,760,915",1127,G.I. Generation,11.583011583011583
Albania,1999,1,0,24,250600,9.58,Albania1999,,"3,414,760,915",1127,Generation X,9.577015163607342
Albania,1999,0,5,4,42400,9.43,Albania1999,,"3,414,760,915",1127,G.I. Generation,9.433962264150942
Albania,1999,1,2,31,391100,7.93,Albania1999,,"3,414,760,915",1127,Boomers,7.926361544362056
Albania,1999,1,1,19,242300,7.84,Albania1999,,"3,414,760,915",1127,Generation X,7.841518778373916
Albania,1999,1,4,14,185200,7.56,Albania1999,,"3,414,760,915",1127,Silent,7.559395248380129
Albania,1999,0,0,19,296800,6.4,Albania1999,,"3,414,760,915",1127,Generation X,6.401617250673854
Albania,1999,0,1,13,276500,4.7,Albania1999,,"3,414,760,915",1127,Generation X,4.701627486437613
Albania,1999,0,4,6,188800,3.18,Albania1999,,"3,414,760,915",1127,Silent,3.1779661016949152
Albania,1999,0,2,5,373600,1.34,Albania1999,,"3,414,760,915",1127,Boomers,1.3383297644539613
Albania,1999,0,3,1,365200,0.27,Albania1999,,"3,414,760,915",1127,Millenials,0.2738225629791895
Albania,1999,1,3,0,391300,0.0,Albania1999,,"3,414,760,915",1127,Millenials,0.0
Albania,2000,1,1,17,232000,7.33,Albania2000,0.656,"3,632,043,908",1299,Generation X,7.3275862068965525
Albania,2000,1,4,10,177400,5.64,Albania2000,0.656,"3,632,043,908",1299,Silent,5.636978579481398
